Config,DataFile,Strategy,StrategyLabel,RunID,Seed,K,N2Raw,Users,Candidates,InitialCost,FinalCost,ImprovementPct,Iterations,InitialCoverage,FinalCoverage,InitialSolution,FinalSolution,FinalGapPct,JaccardToBest
10_150,data/input_data_10_150_8_new.xlsx,random,Random,6,48,10,11,150,20,15089.280303184443,3665.3642236796645,75.70882010253248,12,0.74,0.9266666666666666,2 4 6 9 10 11 12 14 15 17,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,7,49,10,11,150,20,11949.577564554811,3665.3642236796645,69.32641171724785,11,0.78,0.9266666666666666,0 2 3 8 10 11 12 13 15 17,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,8,50,10,11,150,20,17732.872973263475,3665.3642236796645,79.33011628061583,10,0.7066666666666667,0.9266666666666666,1 5 7 8 11 12 13 15 18 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,9,51,10,11,150,20,10825.549886506473,3858.752585506522,64.35513552696042,6,0.82,0.9266666666666666,3 4 5 6 7 8 13 16 17 19,0 2 4 6 7 8 10 11 13 19,5.276102183174432,0.5384615384615384
10_150,data/input_data_10_150_8_new.xlsx,random,Random,10,52,10,11,150,20,13386.642936644399,3665.3642236796645,72.61924262096997,10,0.76,0.9266666666666666,0 1 2 6 8 11 12 14 15 16,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,11,53,10,11,150,20,15524.484384982916,3665.3642236796645,76.38978446701115,14,0.72,0.9266666666666666,5 6 7 8 11 14 15 16 17 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,12,54,10,11,150,20,14105.33451430247,3665.3642236796645,74.01434031952186,12,0.7666666666666667,0.9266666666666666,3 4 6 7 9 13 14 15 17 18,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,13,55,10,11,150,20,10971.289313835498,3923.9943554484084,64.23397247851261,9,0.7933333333333333,0.92,1 2 4 5 6 9 11 15 17 19,0 3 4 7 8 9 11 15 18 19,7.056055441854691,0.5384615384615384
10_150,data/input_data_10_150_8_new.xlsx,random,Random,14,56,10,11,150,20,15356.006940224732,3665.3642236796645,76.13074650234546,18,0.7466666666666667,0.9266666666666666,0 3 6 8 9 11 12 15 16 17,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,15,57,10,11,150,20,12481.714581907021,3665.3642236796645,70.63412883200499,14,0.8,0.9266666666666666,0 1 4 6 7 10 11 12 15 16,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,16,58,10,11,150,20,9716.132186437357,3858.752585506522,60.28509584407557,8,0.8266666666666667,0.9266666666666666,1 3 4 5 6 7 16 17 18 19,0 2 4 6 7 8 10 11 13 19,5.276102183174432,0.5384615384615384
10_150,data/input_data_10_150_8_new.xlsx,random,Random,17,59,10,11,150,20,10627.603546816445,3665.3642236796645,65.51090556273485,6,0.8266666666666667,0.9266666666666666,0 2 4 7 10 11 13 14 15 16,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,18,60,10,11,150,20,15784.193638671546,3923.9943554484084,75.139722400297,10,0.74,0.92,0 4 5 7 8 9 12 13 15 19,0 3 4 7 8 9 11 15 18 19,7.056055441854691,0.5384615384615384
10_150,data/input_data_10_150_8_new.xlsx,random,Random,19,61,10,11,150,20,14472.098932752595,3665.3642236796645,74.67289132895313,13,0.7533333333333333,0.9266666666666666,0 4 5 6 10 11 12 15 17 18,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,20,62,10,11,150,20,10257.287629657987,3665.3642236796645,64.26575566544896,8,0.82,0.9266666666666666,2 4 5 7 8 10 14 17 18 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,21,63,10,11,150,20,15801.328600382862,3665.3642236796645,76.8034428219482,8,0.72,0.9266666666666666,1 6 8 9 10 11 13 14 15 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,22,64,10,11,150,20,11432.499588452032,3665.3642236796645,67.93908282855266,11,0.8,0.9266666666666666,0 3 4 6 10 11 12 15 17 18,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,23,65,10,11,150,20,12198.63331476764,3665.3642236796645,69.95266494942199,9,0.7666666666666667,0.9266666666666666,7 8 9 12 13 14 15 16 18 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
